17:19:55: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
17:19:55: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 60] command created successfully
17:19:55: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 4.0]
17:19:55: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 1.0]
17:19:56: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.6666666666666666]
17:19:56: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] command returned None
17:19:56: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.5]
17:19:56: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] command returned None
17:19:57: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.4]
17:19:57: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] command returned None
17:19:57: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.3333333333333333]
17:19:57: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] command returned None
17:19:58: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.2857142857142857]
17:19:58: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] command returned None
17:19:58: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 2.5, 0.25]
17:19:59: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 4.444444444444445, 0.2222222222222222]
17:19:59: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 6.0, 0.2]
17:20:00: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [1.8181818181818181, 5.454545454545454, 0.18181818181818182]
17:20:00: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [3.3333333333333335, 5.0, 0.16666666666666666]
17:20:01: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [4.615384615384615, 4.615384615384615, 0.15384615384615385]
17:20:01: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [4.285714285714286, 2.857142857142857, 0.14285714285714285]
17:20:02: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [4.0, 1.3333333333333333, 0.13333333333333333]
17:20:02: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [3.75, 0.0, 0.125]
17:20:03: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [2.3529411764705883, 0.0, 0.11764705882352941]
17:20:03: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [1.1111111111111112, 0.0, 0.1111111111111111]
17:20:04: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.10526315789473684]
17:20:04: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 1.0, 0.1]
17:20:05: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 1.9047619047619047, 0.09523809523809523]
17:20:05: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 2.727272727272727, 0.09090909090909091]
17:20:06: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.8695652173913043, 2.608695652173913, 0.08695652173913043]
17:20:06: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [1.6666666666666667, 2.5, 0.08333333333333333]
17:20:07: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [2.4, 2.4, 0.08]
17:20:07: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [2.3076923076923075, 1.5384615384615385, 0.07692307692307693]
17:20:08: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [2.2222222222222223, 0.7407407407407407, 0.07407407407407407]
17:20:08: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [2.142857142857143, 0.0, 0.07142857142857142]
17:20:09: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [1.3793103448275863, 0.0, 0.06896551724137931]
17:20:09: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.6666666666666666, 0.0, 0.06666666666666667]
17:20:10: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] average velocity is [0.0, 0.0, 0.06451612903225806]
